energia_ren,pais,year,percentagem,mio_t_co2eq,meta_eu
REN_ELC,EE,2007,1.432,18.44739,41.068
REN_ELC,EL,2007,9.33,133.70237,33.17
REN_ELC,ES,2007,21.718,393.98758,20.782
REN_ELC,FI,2007,25.468,50.85254,17.032
REN_ELC,FR,2007,14.289,479.41033,28.211
REN_ELC,HR,2007,33.976,25.04552,8.524000000000001
REN_ELC,HU,2007,4.193,69.97499,38.307
REN_ELC,IE,2007,9.534,72.66768,32.966
REN_ELC,IT,2007,15.954,549.94092,26.546
REN_ELC,LT,2007,4.652,20.08264,37.848
REN_ELC,LU,2007,3.305,11.85849,39.195
REN_ELC,LV,2007,38.622,5.21349,3.878
REN_ELC,MT,2007,0.0,3.12539,42.5
REN_ELC,NL,2007,5.963,212.41737,36.537
REN_ELC,PL,2007,3.316,368.51765,39.184
REN_ELC,PT,2007,32.285,77.20876,10.215000000000003
REN_ELC,RO,2007,28.108,115.33817,14.392
REN_ELC,SE,2007,53.21,0.74779,-10.71
REN_ELC,SI,2007,27.697,13.44462,14.803
REN_ELC,SK,2007,16.467,43.06656,26.033
REN_HEAT_CL,AT,2007,27.142,79.92043,15.358
REN_HEAT_CL,BE,2007,4.713,136.85047,37.787
REN_HEAT_CL,BG,2007,13.862,55.27874,28.637999999999998
REN_HEAT_CL,CY,2007,13.064,9.75961,29.436
REN_HEAT_CL,CZ,2007,12.37,141.29589,30.130000000000003
REN_HEAT_CL,DE,2007,10.249,985.36891,32.251
REN_HEAT_CL,DK,2007,26.707,76.77631,15.793
REN_HEAT_CL,EE,2007,33.037,18.44739,9.463000000000001
REN_HEAT_CL,EL,2007,14.675,133.70237,27.825
REN_HEAT_CL,ES,2007,11.246,393.98758,31.253999999999998
REN_HEAT_CL,FI,2007,41.434,50.85254,1.0660000000000025
REN_HEAT_CL,FR,2007,12.787,479.41033,29.713
REN_HEAT_CL,HR,2007,29.301,25.04552,13.199000000000002
REN_HEAT_CL,HU,2007,13.544,69.97499,28.956
REN_HEAT_CL,IE,2007,3.786,72.66768,38.714
REN_HEAT_CL,IT,2007,13.334,549.94092,29.166
REN_HEAT_CL,LT,2007,29.094,20.08264,13.405999999999999
REN_HEAT_CL,LU,2007,4.354,11.85849,38.146
REN_HEAT_CL,LV,2007,42.363,5.21349,0.13700000000000045
REN_HEAT_CL,MT,2007,1.507,3.12539,40.993
REN_HEAT_CL,NL,2007,2.914,212.41737,39.586
REN_HEAT_CL,PL,2007,10.46,368.51765,32.04
REN_HEAT_CL,PT,2007,34.951,77.20876,7.5489999999999995
REN_HEAT_CL,RO,2007,19.465,115.33817,23.035
REN_HEAT_CL,SE,2007,54.465,0.74779,-11.965000000000003
REN_HEAT_CL,SI,2007,29.311,13.44462,13.189
REN_HEAT_CL,SK,2007,6.232,43.06656,36.268
REN_TRA,AT,2007,8.241,79.92043,34.259
REN_TRA,BE,2007,0.671,136.85047,41.829
REN_TRA,BG,2007,0.956,55.27874,41.544
REN_TRA,CY,2007,0.0,9.75961,42.5
REN_TRA,CZ,2007,1.048,141.29589,41.452
REN_TRA,DE,2007,7.532,985.36891,34.968
REN_TRA,DK,2007,0.535,76.77631,41.965
REN_TRA,EE,2007,0.168,18.44739,42.332
REN_TRA,EL,2007,1.269,133.70237,41.231
REN_TRA,ES,2007,1.375,393.98758,41.125
REN_TRA,FI,2007,1.025,50.85254,41.475
REN_TRA,FR,2007,0.828,479.41033,41.672
REN_TRA,HR,2007,1.121,25.04552,41.379
REN_TRA,HU,2007,1.633,69.97499,40.867
REN_TRA,IE,2007,0.503,72.66768,41.997
REN_TRA,IT,2007,0.964,549.94092,41.536
REN_TRA,LT,2007,3.821,20.08264,38.679
REN_TRA,LU,2007,2.203,11.85849,40.297
REN_TRA,LV,2007,1.666,5.21349,40.834
REN_TRA,MT,2007,0.0,3.12539,42.5
